#Y2S-Rapidity
#Rapidity	etabar=1/4pi	        etabar=2/4pi	        etabar=3/4pi
0.	0.07424334935095601	0.07573092172081607	0.07605982324041768
0.2	0.07424427218777162	0.07573441799033956	0.07606142133396736
0.4	0.07424964889509868	0.07573764880395668	0.07606484378004379
0.6000000000000001	0.0742616423124674	0.07574366705079283	0.0760773713201593
0.8	0.0742830175627849	0.07577399917942168	0.0761015476682149
1.	0.07433507153832786	0.07582412972915302	0.07614539383800552
1.2000000000000002	0.07445072056437074	0.0759140690965673	0.07622364460160747
1.4000000000000001	0.07462235023046443	0.0760871589877905	0.07641056334187005
1.6	0.07486467697255232	0.0763067063143214	0.07669186915682445
1.8	0.07517881147522298	0.07658127999448751	0.07706034633858136
2.	0.07546601890343312	0.07690457918647593	0.07746431620355598
2.2	0.0759528746959277	0.07730530057760228	0.07794875365299465
2.4000000000000004	0.07651654535371091	0.07784074564703143	0.07859488925200912
2.6	0.07732201820680086	0.07863194972753039	0.07948506722085363
2.8000000000000003	0.07847720292822069	0.07978849402392331	0.08065937413251353
3.	0.08014499142699788	0.08150400036495499	0.08241701434977262
3.2	0.08255532713194848	0.08386359909509643	0.08487064890686624
3.4000000000000004	0.08563647800374335	0.0870904511223547	0.08814875824419147
3.6	0.08973347790754341	0.09126174312109259	0.09243147982626872
3.8000000000000003	0.09515211477768978	0.09663563096918447	0.09796052108392418
4.	0.10185832053138266	0.10339608902970429	0.10497816717441465
4.2	0.11017318243486397	0.11188518306293564	0.1137794094842861
4.4	0.1203717235243494	0.1223130046459847	0.12457838473929352
4.6000000000000005	0.13306821547373246	0.13513119915823427	0.13787661515584831
4.800000000000001	0.14867739154609638	0.15127319859281768	0.1545055655177713
5.	0.1685805628248817	0.17159481644389105	0.17565853907243445
5.2	0.1940547499536027	0.19759357144322515	0.2033977510587422
5.4	0.22671961194974796	0.2314534638368266	0.24074061692494705
5.6000000000000005	0.27047017962843684	0.276184472322307	0.29522010842405216
5.800000000000001	0.3302813379740708	0.33857428137474166	0.377941953732738
6.	0.4147542673602187	0.42584510435801226	0.5098596507291006
6.2	0.53275863391752	0.5499158276793037	0.6806147195113622
6.4	0.6960483435962145	0.720684925387116	0.772604344276324
6.6000000000000005	0.8922587603011298	0.9189879709955155	0.9275085325485767
6.800000000000001	0.9917338621054894	0.9925923999999997	0.9925923999999998
# Eof
