#Y3S-Npart
#Npart	etabar=1/4pi	        etabar=2/4pi	        etabar=3/4pi
0	0.9864123742861057	0.9867710552653903	0.9869481600742847
1	0.9971637358122896	0.9968984211871248	0.9967674175970253
2	0.9853602008172084	0.9857799486314341	0.9859872062244361
3	0.9510017693008626	0.9534156375983183	0.9546075259565174
4	0.8971555210220996	0.9025921257185263	0.9052926350099035
5	0.8409662251824795	0.8488865295928737	0.85293555730606
6	0.7850914999177749	0.794713464845209	0.7998448669648752
7	0.7295313452279855	0.7400729314755321	0.7460205639863488
8	0.6762589858343346	0.6871706593178708	0.6936067450574337
9	0.6291903012460887	0.6403839360511938	0.6468583864066456
10	0.5884320493673365	0.5998320988658039	0.6058914906696703
11	0.5539842301980775	0.5655151477617004	0.5707060578465075
12	0.5255554783534746	0.5371390370172294	0.5410585076982538
13	0.4999715391833338	0.5115003112876502	0.5142951766592595
14	0.4763628826367661	0.4877214415162555	0.4896891412562801
15	0.4547295087137719	0.4658024277030456	0.4672404014893157
16	0.43507141741435107	0.44574326984802015	0.44694895735836626
17	0.41738860873850336	0.4275439679511794	0.42881480886343176
18	0.40165567768344745	0.4111833132524987	0.4128083428769005
19	0.38708398892076096	0.3960029323768162	0.39801029326759685
20	0.3732999839032269	0.3816909688897468	0.3839852246598887
21	0.360303662630845	0.36824742279129025	0.3707331370537761
22	0.3480950251036155	0.35567229408144674	0.35825403044925896
23	0.33667407132153815	0.34396558276021605	0.34654790484633735
24	0.3260408012846131	0.33312728882759834	0.33561476024501136
25	0.31619521499284026	0.3231574122835936	0.32545459664528087
26	0.30712896171030096	0.3140457535080854	0.31605976321406776
27	0.2985505122197097	0.30543623762358957	0.3071631647635301
28	0.2903155493739401	0.2971525951262796	0.29863257984471875
29	0.2824240731729922	0.28919482601615537	0.29046800845763343
30	0.274876083616866	0.28156293029321705	0.28266945060227444
31	0.26767158070556146	0.2742569079574646	0.2752369062786416
32	0.2608105644390787	0.26727675900889797	0.268170375486735
33	0.25429303481741755	0.26062248344751715	0.26146985822655455
34	0.24811899184057812	0.25429408127332226	0.2551353544981003
35	0.24228843550856036	0.24829155248631313	0.2491668643013723
36	0.23679324158658832	0.24260751989970783	0.24355452627615704
37	0.23152044934635813	0.23713940986630005	0.23816122640956694
38	0.22643383853846244	0.23185433269831748	0.23294299983152195
39	0.2215334091629012	0.22675228839576012	0.227899846542022
40	0.21681916121967448	0.22183327695862806	0.22303176654106716
41	0.21229109470878232	0.21709729838692124	0.2183387598286574
42	0.20794920963022462	0.2125443526806397	0.21382082640479272
43	0.20379350598400142	0.20817443983978343	0.20947796626947313
44	0.19982398377011273	0.20398755986435235	0.20531017942269866
45	0.19604064298855853	0.19998371275434657	0.20131746586446925
46	0.19244348363933889	0.19616289850976612	0.19749982559478496
47	0.1890325057224537	0.19252511713061085	0.19385725861364572
48	0.1857871392354782	0.18905466513658584	0.19037545018059265
49	0.18263085669357804	0.18569312017920003	0.1870011445370332
50	0.17955644021699374	0.18243497200958547	0.18372931873385503
51	0.17656388980572527	0.17928022062774213	0.18055997277105817
52	0.17365320545977259	0.17622886603366997	0.17749310664864254
53	0.17082438717913578	0.17328090822736913	0.17452872036660821
